taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled
2731639189	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I.1a Thaumarchaeota archaeon SCGC AG-485_D20 (unscreened)	DOE Joint Genome Institute (JGI)	2731639189	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	uncultured marine group I thaumarchaeote	762336	949
2681813394	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 (MSBL1)	candidate divison MSBL1 archaeon SCGC-AAA259A05	King Abdullah University of Science and Technology	2681813394	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	candidate divison MSBL1 archaeon SCGC-AAA259A05	1161635	1482
2264867071	Archaea	Permanent Draft	GEBA-MDM	Nanoarchaeota archaeon SCGC AAA011-K22 (contamination screened) (DUSEL_001_202)	DOE Joint Genome Institute (JGI)	2264867071	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	319835	474
2582581250	Archaea	Permanent Draft	Genomic basis of thermal adaption and carbon metabolism in permafrost isolates	Methanobacterium sp. SMA-27	DOE Joint Genome Institute (JGI)	2582581250	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. SMA-27	2490725	2621
2654587878	Archaea	Permanent Draft	Marine microbial communities from the northern Gulf of Mexico hypoxic zone	unclassified Nitrosopumilaceae Bin 72	Argonne National Laboratory	2654587878	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	unclassified	unclassified	1093079	1656
2724679794	Archaea	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Halorubrum cibi DSM 19504	DOE Joint Genome Institute (JGI)	2724679794	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum cibi	3176020	3166
2731639251	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I.1a Thaumarchaeota archaeon SCGC AG-487_L18 (contamination screened)	DOE Joint Genome Institute (JGI)	2731639251	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp.	884772	1174
2639763146	Archaea	Finished	Halorhabdus tiamatea: Complete genome sequencing	Halorhabdus tiamatea SARL4B	Max Planck Institute for Marine Microbiology	2639763146	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea	2815791	2955
2693429869	Archaea	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Halobiforma haloterrestris DSM 13078	DOE Joint Genome Institute (JGI)	2693429869	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	Halobiforma haloterrestris	4495442	4405
2522572142	Archaea	Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Thermoplasmatales-like-NAG3-r01 (from OSP_D)	DOE Joint Genome Institute (JGI)	2522572142	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	260296	346
2522572147	Archaea	Permanent Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Thaumarchaeota-Tha-I.1e-r01 (from DS_9)	DOE Joint Genome Institute (JGI)	2522572147	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1485980	1778
651053028	Archaea	Finished	"Haloquadratum walsbyi C23, DSM 16854"	"Haloquadratum walsbyi C23, DSM 16854"	Max Planck Institute	651053028	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi	3260476	3044
2681813012	Archaea	Permanent Draft	Vulcanisaeta genome project - The University of Tokyo	Vulcanisaeta distributa JCM 11217	University of Tokyo	2681813012	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta distributa	2074162	3667
2547132067	Archaea	Permanent Draft	"Pan-genome of Methanobrevibacter smithii, in twins"	Methanobrevibacter smithii TS95C	Washington University in St. Louis	2547132067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1978848	1919
2684622730	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05B_CO5_09	"University of Illinois, Urbana-Champaign"	2684622730	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2208660	2450
2708742553	Archaea	Draft	"Soil microbial communities from Rifle, Colorado, USA"	Candidatus Pacearchaeota archaeon RBG_16_35_8	DOE Joint Genome Institute (JGI)	2708742553	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Pacearchaeota archaeon RBG_16_35_8	453623	646
2617270917	Archaea	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Halopelagius inordinatus CGMCC 1.7739	DOE Joint Genome Institute (JGI)	2617270917	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halopelagius	Halopelagius inordinatus	3529311	3666
2684622709	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius GG12-C01-17	"University of Illinois, Urbana-Champaign"	2684622709	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2220644	2441
2619618938	Archaea	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Haloplanus aerogenes CGMCC 1.10124	DOE Joint Genome Institute (JGI)	2619618938	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus aerogenes	3507307	3702
2617271048	Archaea	Permanent Draft	"The poli-extremophilic Halorubrum sp. AJ67, isolated from hyperarsenic lakes, in the Argentinean Puna."	Halorubrum sp. AJ67	"Facultad de Ciencias Exactas y Naturales, Argentina"	2617271048	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. AJ67	4225006	3411
2708742544	Archaea	Draft	"Soil microbial communities from Rifle, Colorado, USA"	Candidatus Pacearchaeota archaeon RBG_13_33_26	DOE Joint Genome Institute (JGI)	2708742544	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Pacearchaeota archaeon RBG_13_33_26	579469	750
2698536771	Archaea	Draft	"Acid mine drainage (AMD) solution archaeal communities from Fankou mine, Guangdong, China"	Micrarchaeota archaeon_TC.Endo.bin.6	BGI-shenzhen	2698536771	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	884651	973
2529293211	Archaea	Permanent Draft	Natronorubrum tibetense GA33	Natronorubrum tibetense GA33	TGen	2529293211	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum tibetense	4926841	4720
2681813367	Archaea	Finished	Genome sequencing and assembly of microorganisms from an acetoclastic consortium	Methanosarcina sp. 795 OTU795	Agriculture and Agri-Food Canada	2681813367	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. 795	3122414	2776
2731639254	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I.1a Thaumarchaeota archaeon SCGC AG-487_L13 (contamination screened)	DOE Joint Genome Institute (JGI)	2731639254	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	uncultured marine group I thaumarchaeote	415743	508
2264867064	Archaea	Permanent Draft	GEBA-MDM	Aenigmarchaeota archaeon SCGC AAA011-F07 (contamination screened) (DUSEL_001_186)	DOE Joint Genome Institute (JGI)	2264867064	Aenigmarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	248182	379
2721755442	Archaea	Draft	"Metagenomics study of hot springs in Tengchong, Yunnan"	Unclassfied Crenarchaeota ZZQ bin_2	"Beijing Novogene Bioinformatics Technology Co., Ltd"	2721755442	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1358015	1435
2698536761	Archaea	Draft	"Acid mine drainage (AMD) solution archaeal communities from Fankou mine, Guangdong, China"	Micrarchaeota archaeon_FK.AMD.2014.bin.40	BGI-shenzhen	2698536761	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	929071	1018
2681813413	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 (MSBL1)	candidate divison MSBL1 archaeon SCGC-AAA833K04	King Abdullah University of Science and Technology	2681813413	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	candidate divison MSBL1 archaeon SCGC-AAA833K04	162840	226
2693430074	Archaea	Permanent Draft	Development of a pipeline for high-throughput recovery of near-complete and complete microbial genomes from complex metagenomic datasets	Euryarchaeota archaeon JGI CrystG Aug3-3-F14 (contamination screened)	DOE Joint Genome Institute (JGI)	2693430074	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	247485	244
2728369530	Archaea	Permanent Draft	"Acid Mine Drainage (AMD) microbial and viral communities from Richmond mine, Iron Mountain, CA"	Thermoplasmatales archaeon I-plasma	"University of California, Berkeley"	2728369530	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	Thermoplasmatales archaeon I-plasma	1684836	1798
2585428036	Archaea	Permanent Draft	Comparative genomics of halotolerant thaumarchaea in brine-seawater interface of Red Sea's brine pools	Marine Group I thaumarchaeote SCGC AAA799-N04 (unscreened)	King Abdullah University of Science and Technology	2585428036	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group I thaumarchaeote SCGC AAA799-N04	1296717	1799
2502790017	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Methanosalsum zhilinae WeN5, DSM 4017"	DOE Joint Genome Institute (JGI)	2502790017	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Methanosalsum zhilinae	2138444	2083
2657245245	Archaea	Permanent Draft	Single-cell microbial genomes from expanding oxygen minimum zones (OMZs) of the northeastern subarctic Pacific Ocean (NESAP)	Thaumarchaeota archaeon SCGC AC-312_C19v2 (unscreened)	DOE Joint Genome Institute (JGI)	2657245245	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AC-312_C19	613258	771
2639762586	Archaea	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	unclassified Crenarchaeota archaeon JGI MDM2 LHC4sed-1-G16 (unscreened)	DOE Joint Genome Institute (JGI)	2639762586	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	Crenarchaeota archaeon JGI MDM2 LHC4sed-1-G16	1336176	1597
2639762563	Archaea	Permanent Draft	"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera"	Halostagnicola kamekurae DSM 22427	DOE Joint Genome Institute (JGI)	2639762563	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halostagnicola	Halostagnicola kamekurae	4108147	4247
2728369308	Archaea	Permanent Draft	"Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field"	Archaeoglobus sp. JdFR-37	DOE Joint Genome Institute (JGI)	2728369308	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp. JdFR-37	1972400	2239
2524023119	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp. SCGC AAA008-O18 (unscreened)	Marine Biological Laboratory	2524023119	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA008-O18	206809	424
2681813051	Archaea	Finished	Nanoarchaeota archaeon 7A Genome sequencing	Nanoarchaeota archaeon 7A	Oak Ridge National Laboratory	2681813051	Nanoarchaeota	unclassified	Nanoarchaeales	Nanopusillaceae	Candidatus Nanopusillus	Candidatus Nanopusillus acidilobi	605887	710
2684622712	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05A_C04	"University of Illinois, Urbana-Champaign"	2684622712	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2203701	2454
2504557011	Archaea	Permanent Draft	YNP Site 19 Thermoproteales Type I	Thermoproteales Type I	Montana State University	2504557011	Crenarchaeota	Thermoprotei	Thermoproteales	unclassified	unclassified	unclassified	3218059	3894
2522125044	Archaea	Permanent Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Nanoarchaeota-NANO-r01 (from OSP_14)	DOE Joint Genome Institute (JGI)	2522125044	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	130580	203
2619619229	Archaea	Permanent Draft	Candidatus Nitrosotenuis uzonensis	Thaumarchaeota archaeon N4	CEA Genoscope	2619619229	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon N4	1636125	1955
2501025505	Archaea	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	"Palaeococcus ferrophilus DMJ, DSM 13482"	DOE Joint Genome Institute (JGI)	2501025505	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus ferrophilus	2206431	2399
2667527934	Archaea	Permanent Draft	"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA"	Methanosarcina mazei 1.F.A.1A.3	"University of Illinois, Urbana-Champaign"	2667527934	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	4045304	3534
2505679075	Archaea	Finished	Methanocella paludicola SANAE	Methanocella paludicola SANAE (reannotation)	National Institute of Technology and Evaluation	2505679075	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella paludicola	2957635	3123
2684622664	Archaea	Permanent Draft	Genome sequencing of Haloarcula sp. CBA1128 - Korea Basic Science Institute (KBSI)	Haloarcula sp. CBA1128	Korea Basic Science Institute (KBSI)	2684622664	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sp. CBA1128	4184591	4244
2524023122	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp. SCGC AAA288-C17 (unscreened)	Marine Biological Laboratory	2524023122	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA288-C17	385497	698
2642422537	Archaea	Permanent Draft	"Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA"	Methanococcoides vulcani SLH 33	DOE Joint Genome Institute (JGI)	2642422537	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	unclassified	2314846	2357
2728369316	Archaea	Permanent Draft	"Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field"	Crenarchaeota archaeon JdFR-12	DOE Joint Genome Institute (JGI)	2728369316	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	Crenarchaeota archaeon JdFR-12	301027	368
2721755427	Archaea	Draft	"Metagenomics study of hot springs in Tengchong, Yunnan"	Desulfurococcus sp. DRTY7 bin_22	"Beijing Novogene Bioinformatics Technology Co., Ltd"	2721755427	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	unclassified	1438888	1588
2728369326	Archaea	Permanent Draft	"Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field"	Archaeoglobus sp. JdFR-24	DOE Joint Genome Institute (JGI)	2728369326	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp. JdFR-24	2701738	2905
2690315686	Archaea	Permanent Draft	Haladaptatus sp. R4 genome sequencing	Haladaptatus sp. R4	The University of Burdwan	2690315686	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus sp. R4	4891005	5410
637000163	Archaea	Finished	Methanosphaera stadtmanae DSM 3091	Methanosphaera stadtmanae DSM 3091	Max Planck Institute	637000163	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	1767403	1592
2698536787	Archaea	Draft	"Acid mine drainage (AMD) solution archaeal communities from Fankou mine, Guangdong, China"	Parvarchaeota archaeon_TC.Endo.bin.47	BGI-shenzhen	2698536787	Candidatus Parvarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	806322	1015
2684622723	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05B_C06_13	"University of Illinois, Urbana-Champaign"	2684622723	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2224052	2471
2547132060	Archaea	Permanent Draft	"Pan-genome of Methanobrevibacter smithii, in twins"	Methanobrevibacter smithii TS147B	Washington University in St. Louis	2547132060	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1965064	1962
2718217673	Archaea	Draft	"Metagenomics study of hot springs in Tengchong, Yunnan"	Unclassified Bathyarchaeota JZ bin_36.2	"Beijing Novogene Bioinformatics Technology Co., Ltd"	2718217673	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1451033	1547
2698536777	Archaea	Draft	"Acid mine drainage (AMD) solution archaeal communities from Fankou mine, Guangdong, China"	Micrarchaeota archaeon_ARMAN-1	BGI-shenzhen	2698536777	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	867977	1034
643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.S.2.15	DOE Joint Genome Institute (JGI)	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2736272	3068
2663762907	Archaea	Permanent Draft	"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA"	Methanosarcina mazei 3.F.T.2.1	"University of Illinois, Urbana-Champaign"	2663762907	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	4101065	3588
2540341077	Archaea	Finished	Methanosarcina mazei Tuc01	Methanosarcina mazei Tuc01	Rede Paraense de Genomica e Proteomica	2540341077	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	3427949	3444
2521172713	Archaea	Finished	"Haloferax mediterranei R-4, ATCC 33500"	Haloferax mediterranei R-4	Chinese Academy of Sciences	2521172713	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei	3904707	3928
2264867226	Archaea	Permanent Draft	GEBA-MDM	Aigarchaeota archaeon SCGC AAA471-J07 (contamination screened) (GBS-N_001_18)	DOE Joint Genome Institute (JGI)	2264867226	Aigarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	249792	298
2708742560	Archaea	Draft	"Soil microbial communities from Rifle, Colorado, USA"	Candidatus Bathyarchaeota archaeon RBG_16_57_9	DOE Joint Genome Institute (JGI)	2708742560	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Bathyarchaeota archaeon RBG_16_57_9	1523517	1946
2511231093	Archaea	Finished	Thermoproteus tenax Kra1	Thermoproteus tenax Kra1	Epidauros Biotechnologie AG	2511231093	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax	1841542	2100
2684622716	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05B_C06_03	"University of Illinois, Urbana-Champaign"	2684622716	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius	2238124	2511
2522572139	Archaea	Permanent Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Geoarchaeota-NAG1-GT2-r01 (from OSP_B)	DOE Joint Genome Institute (JGI)	2522572139	Candidatus Geoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	491160	628
