MAG	MiGA Taxonomy	MiGA_Completeness	MiGA_Contamination	MiGA_Taxonomy_Simplified
METABAT_VerySpecific.338	p__Proteobacteria	93.7	3.6	p__Proteobacteria
METABAT_VerySpecific.339	p__Bacteroidetes	93.7	0.9	p__Bacteroidetes
METABAT_VerySpecific.342	c__Actinobacteria	87.4	3.6	p__Actinobacteria
METABAT_VerySpecific.343	c__Gemmatimonadetes	94.6	1.8	p__Gemmatimonadetes
METABAT_VerySpecific.36	c__Solibacteres	93.7	2.7	p__Acidobacteria
METABAT_VerySpecific.377	p__Proteobacteria	91.9	6.3	p__Proteobacteria
METABAT_VerySpecific.38	c__Actinobacteria	93.7	1.8	p__Actinobacteria
METABAT_VerySpecific.384	f__Intrasporangiaeae	93.7	2.7	p__Actinobacteria
METABAT_VerySpecific.385	c__Alphaproteobacteria	89.2	1.8	c__Alphaproteobacteria
METABAT_VerySpecific.388	p__Planctomycetes	91	4.5	p__Planctomycetes
METABAT_VerySpecific.396	c__Anaerolineae	94.6	2.7	p__Chloroflexi
METABAT_VerySpecific.399	p__Proteobacteria	87.4	1.8	p__Proteobacteria
METABAT_VerySpecific.41	f__Hyphomicrobiaceae	92.8	0.9	c__Alphaproteobacteria
METABAT_VerySpecific.412	f__Isosphaeraceae	91.9	8.1	p__Planctomycetes
METABAT_VerySpecific.42	p__Actinobacteria	89.2	1.8	p__Actinobacteria
METABAT_VerySpecific.427	c__Acidobacteriia	91.9	2.7	p__Acidobacteria
METABAT_VerySpecific.434	o__Nostocales	94.6	9.9	p__Cyanobacteria
METABAT_VerySpecific.443	c__Spartobacteria	89.2	1.8	p__Verrucomicrobia
METABAT_VerySpecific.445	c__Gammaproteobacteria	86.5	2.7	c__Gammaproteobacteria
METABAT_VerySpecific.449	c__Gammaproteobacteria	85.6	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.45	p__Firmicutes	92.8	3.6	p__Firmicutes
METABAT_VerySpecific.457	p__Crenarchaeota	100	0	p__Crenarchaeota
METABAT_VerySpecific.47	p__Firmicutes	91.9	1.8	p__Firmicutes
METABAT_VerySpecific.483	p__Verrucomicrobia	89.2	4.5	p__Verrucomicrobia
METABAT_VerySpecific.491	c__Solibacteres	91	3.6	p__Acidobacteria
METABAT_VerySpecific.505	p__Proteobacteria	90.1	6.3	p__Proteobacteria
METABAT_VerySpecific.507	c_Chitinophagia	82	0.9	p__Bacteroidetes
METABAT_VerySpecific.52	p__Proteobacteria	94.6	0.9	p__Proteobacteria
METABAT_VerySpecific.520	p__Armatimonadetes	89.2	0.9	p__Armatimonadetes
METABAT_VerySpecific.53	p__Thaumarchaeota	92.3	3.8	p__Thaumarchaeota
METABAT_VerySpecific.536	c__Gammaproteobacteria	94.6	0.9	c__Gammaproteobacteria
METABAT_VerySpecific.554	c__Spartobacteria	83.8	1.8	p__Verrucomicrobia
METABAT_VerySpecific.56	p__Actinobacteria	89.2	2.7	p__Actinobacteria
METABAT_VerySpecific.561	p__Proteobacteria	92.8	0.9	p__Proteobacteria
METABAT_VerySpecific.57	f__Solibacteraceae	93.7	0.9	p__Acidobacteria
METABAT_VerySpecific.577	d__Bacteria	25.2	0.9	d__Bacteria
METABAT_VerySpecific.580	c__Acidobacteriia	82	0	p__Acidobacteria
METABAT_VerySpecific.59	p__Proteobacteria	91	0.9	p__Proteobacteria
METABAT_VerySpecific.593	p__Chloroflexi	93.7	0.9	p__Chloroflexi
METABAT_VerySpecific.596	o__Oscillatoriales	75.7	3.6	p__Cyanobacteria
METABAT_VerySpecific.6	p__Acidobacteria	89.2	3.6	p__Acidobacteria
METABAT_VerySpecific.65	p__Chloroflexi	95.5	5.4	p__Chloroflexi
METABAT_VerySpecific.67	p__Proteobacteria	92.8	2.7	p__Proteobacteria
METABAT_VerySpecific.675	p__Proteobacteria	85.6	2.7	p__Proteobacteria
METABAT_VerySpecific.68	f__Acidiferrobacteraceae	86.5	2.7	c__Gammaproteobacteria
METABAT_VerySpecific.692	p__Verrucomicrobia	82	4.5	p__Verrucomicrobia
METABAT_VerySpecific.71	o__Chitinophagales	95.5	0.9	p__Bacteroidetes
METABAT_VerySpecific.73	o__Rhizobiales	94.6	2.7	c__Gammaproteobacteria
METABAT_VerySpecific.78	p__Thaumarchaeota	96.2	0	p__Thaumarchaeota
METABAT_VerySpecific.79	c__Gammaproteobacteria	89.2	1.8	c__Gammaproteobacteria
METABAT_VerySpecific.82	p__Actinobacteria	88.3	1.8	p__Actinobacteria
METABAT_VerySpecific.86	f__Acidobacteriaceae	95.5	1.8	p__Acidobacteria
METABAT_VerySpecific.89	p__Proteobacteria	88.3	0.9	p__Proteobacteria
METABAT_VerySpecific.91	d__Bacteria	89.2	0.9	d__Bacteria
METABAT_VerySpecific.96	c__Solibacteres	94.6	1.8	p__Acidobacteria
METABAT_VerySpecific.97	p__Firmicutes	84.7	0	p__Firmicutes
