taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Genome Size   * assembled	Gene Count   * assembled
650377982	Archaea	Finished	Sulfolobus islandicus REY15A	Sulfolobus islandicus REY15A	Chinese Academy of Sciences	650377982	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2522992	2753
644736412	Archaea	Finished	Thermococcus sibiricus MM 739	Thermococcus sibiricus MM 739	Russian Academy of Science, Centre Bioengineering	644736412	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	1845800	2085
644736385	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus fervens AG86	DOE Joint Genome Institute JGI	644736385	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	1507251	1663
643692049	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.N.15.51	DOE Joint Genome Institute JGI	643692049	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2854410	3318
650716056	Archaea	Finished	CSP_787660, Methanoarchaea	Methanotorris igneus Kol5, DSM 5666	DOE Joint Genome Institute JGI	650716056	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	1854197	1843
646564534	Archaea	Finished	Comparative genomics of the Archaea	Ferroglobus placidus AEDII12DO, DSM 10642	DOE Joint Genome Institute JGI	646564534	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	2196266	2622
646564573	Archaea	Finished	Comparative genomics of the Archaea	Staphylothermus hellenicus P8, DSM 12710	DOE Joint Genome Institute JGI	646564573	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	1580347	1716
638154515	Archaea	Finished	Pyrococcus furiosus DSM 3638	Pyrococcus furiosus DSM 3638	University of Maryland, University of Utah	638154515	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	1908256	2179
649633040	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Desulfurococcus mucosus 07/1, DSM 2162	DOE Joint Genome Institute JGI	649633040	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	1314639	1421
648028039	Archaea	Finished	Comparative genomics of the Archaea	Methanohalobium evestigatum Z7303, DSM 3721	DOE Joint Genome Institute JGI	648028039	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	2406232	2437
2511231053	Archaea	Finished	Thermococcus sp. AM4	Thermococcus sp. AM4	J. Craig Venter Institute JCVI	2511231053	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2086428	2272
2588253768	Archaea	Finished	Archaeoglobus fulgidus DSM 8774 Genome sequencing	Archaeoglobus fulgidus DSM 8774	Leibniz Institute, University of Bergen	2588253768	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	2316287	2613
646311944	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus vulcanius M7, DSM 12094	DOE Joint Genome Institute JGI	646311944	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	1761737	1808
643692048	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.G.57.14	DOE Joint Genome Institute JGI	643692048	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2702058	3079
639633038	Archaea	Finished	Methanosaeta thermophila	Methanothrix thermoacetophila PT	DOE Joint Genome Institute JGI	639633038	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	1879471	1785
641522657	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum neutrophilum V24Sta	DOE Joint Genome Institute JGI	641522657	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	1769823	2053
2513237398	Archaea	Finished	Thermococcus litoralis DSM 5473	Thermococcus litoralis DSM 5473	New England Biolabs	2513237398	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2309423	2555
648028041	Archaea	Finished	Methanothermobacter marburgensis Marburg DSM 2133	Methanothermobacter marburgensis Marburg DSM 2133	University of Gottingen	648028041	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	1639135	1806
646311959	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.D.8.5	DOE Joint Genome Institute JGI	646311959	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2748647	2996
638154510	Archaea	Finished	Methanothermobacter thermautotrophicus Delta H	Methanothermobacter thermautotrophicus Delta H	Genome Therapeutics	638154510	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	1751377	1893
2511231093	Archaea	Finished	Thermoproteus tenax Kra1	Thermoproteus tenax Kra1	Epidauros Biotechnologie AG	2511231093	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	1841542	2098
646564547	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus infernus ME	DOE Joint Genome Institute JGI	646564547	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	1328194	1513
640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I	Ignicoccus hospitalis KIN4/I, DSM 18386	DOE Joint Genome Institute JGI	640753029	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	1297538	1496
638154520	Archaea	Finished	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis KOD1	ANRT, Kyoto University	638154520	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2088737	2428
2556793003	Archaea	Finished	Sulfolobus acidocaldarius SUSAZ	Sulfolobus acidocaldarius SUSAZ	Macrogen	2556793003	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2061920	2196
650716051	Archaea	Finished	Metallosphaera cuprina Ar4	Metallosphaera cuprina Ar4	Chinese Academy of Sciences	650716051	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	1840348	2077
2510065009	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Caldisphaera lagunensis DSM 15908	DOE Joint Genome Institute JGI	2510065009	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	1546846	1591
640427135	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum arsenaticum PZ6, DSM 13514	DOE Joint Genome Institute JGI	640427135	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	2121076	2410
650716098	Archaea	Finished	Thermoproteus uzoniensis 76820	Thermoproteus uzoniensis 76820	Russian Academy of Science, Centre Bioengineering	650716098	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	1936063	2224
646564583	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Thermosphaera aggregans M11TL, DSM 11486	DOE Joint Genome Institute JGI	646564583	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	1316595	1457
643348540	Archaea	Finished	Desulfurococcus kamchatkensis 1221n	Desulfurococcus kamchatkensis 1221n	Russian Academy of Science, Centre Bioengineering	643348540	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	1365223	1521
2518645553	Archaea	Finished	Thermococcus cleftensis CL1	Thermococcus cleftensis CL1	Kyunghee University	2518645553	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	1950313	2067
641522631	Archaea	Finished	Halobacterium salinarum R1, DSM 671	Halobacterium salinarum R1, DSM 671	Max Planck Institute	641522631	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	2668776	2801
643348580	Archaea	Finished	Thermococcus onnurineus NA1	Thermococcus onnurineus NA1	Korea Institute of Ocean Science and Technology KIOST	643348580	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	1847607	2027
2505679005	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Pyrolobus fumarii 1A, DSM 11204	DOE Joint Genome Institute JGI	2505679005	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	1843267	2038
646564501	Archaea	Finished	CSP_300154_796307	Aciduliprofundum boonei T469	DOE Joint Genome Institute JGI	646564501	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	1486778	1587
650716001	Archaea	Finished	Acidianus hospitalis W1	Acidianus hospitalis W1	University of Copenhagen	650716001	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	2137654	2404
638154517	Archaea	Finished	Sulfolobus acidocaldarius 983, DSM 639	Sulfolobus acidocaldarius 983, DSM 639	Epidauros Biotechnologie AG	638154517	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2225959	2343
643692047	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.16.4	DOE Joint Genome Institute JGI	643692047	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2586647	2869
648028035	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Ignisphaera aggregans AQ1.S1, DSM 17230	DOE Joint Genome Institute JGI	648028035	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	1875953	2042
2513237177	Archaea	Finished	Fervidicoccus fontis Kam940	Fervidicoccus fontis Kam940	Russian Academy of Science, Centre Bioengineering	2513237177	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus	1319206	1430
639633053	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum islandicum DSM 4184	DOE Joint Genome Institute JGI	639633053	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	1826402	2063
2636415612	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina thermophila TM1	University of Illinois, UrbanaChampaign	2636415612	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	3127379	2773
650716079	Archaea	Finished	Pyrococcus sp. NA2	Pyrococcus sp. NA2	Korea Institute of Ocean Science and Technology KIOST	650716079	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	1861320	2029
2511231117	Archaea	Finished	Pyrobaculum ferrireducens 1860	Pyrobaculum ferrireducens 1860	Russian Academy of Science, Centre Bioengineering	2511231117	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	2467972	2858
638154507	Archaea	Finished	Methanopyrus kandleri AV19	Methanopyrus kandleri AV19	Fidelity Systems Inc	638154507	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	1694969	1766
2513020047	Archaea	Finished	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus fermentans Z1312, DSM 16532	DOE Joint Genome Institute JGI	2513020047	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	1384116	1522
2521172705	Archaea	Finished	Thermogladius calderae 1633	Thermogladius calderae 1633	Russian Academy of Science, Centre Bioengineering	2521172705	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	1356318	1463
638154511	Archaea	Finished	Nanoarchaeum equitans Kin4M	Nanoarchaeum equitans Kin4M	Celera Genomics	638154511	Nanoarchaeota	unclassified	Nanoarchaeales	Nanoarchaeaceae	Nanoarchaeum	490885	608
2504136002	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Archaeoglobus veneficus SNP6, DSM 11195	DOE Joint Genome Institute JGI	2504136002	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	1901943	2194
640069326	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum calidifontis JCM 11548	DOE Joint Genome Institute JGI	640069326	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	2009313	2213
638154521	Archaea	Finished	Thermoplasma acidophilum DSM 1728	Thermoplasma acidophilum DSM 1728	Eurofins Medigenomix GmbH, Max Planck Institute	638154521	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	1564906	1580
2728369532	Archaea	Finished	Study the patterns of natural variation and gene flow, as well as virushost coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.43	University of Illinois	2728369532	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2589840	2953
638154514	Archaea	Finished	Pyrococcus abyssi GE5	Pyrococcus abyssi GE5	CEA Genoscope	638154514	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	1768562	2051
639633064	Archaea	Finished	Diverse archaeal organisms	Thermofilum pendens Hrk 5	DOE Joint Genome Institute JGI	639633064	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	1813393	1930
2728369537	Archaea	Finished	Study the patterns of natural variation and gene flow, as well as virushost coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.40	University of Illinois	2728369537	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2664783	3121
643692046	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.16.27	DOE Joint Genome Institute JGI	643692046	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2692402	2956
638154513	Archaea	Finished	Pyrobaculum aerophilum IM2	Pyrobaculum aerophilum IM2	California Institute of Technology, University of California, Los Angeles	638154513	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	2222430	2625
638154518	Archaea	Finished	Sulfolobus solfataricus P2	Sulfolobus solfataricus P2	European Union EU, ANRT	638154518	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2992245	3141
650716080	Archaea	Finished	Pyrococcus yayanosii CH1	Pyrococcus yayanosii CH1	Shanghai Jiao Tong University	650716080	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	1716818	1915
650716097	Archaea	Finished	Thermococcus sp. 4557	Thermococcus sp. 4557	Beijing Genomics Institute BGI	650716097	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2011320	2181
648028062	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Vulcanisaeta distributa DSM 14429	DOE Joint Genome Institute JGI	648028062	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	2374137	2592
641228483	Archaea	Finished	Caldivirga maquilingensis IC167	Caldivirga maquilingensis IC167	DOE Joint Genome Institute JGI	641228483	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	2077567	2011
2512564055	Archaea	Finished	Methanocella conradii HZ254	Methanocella conradii HZ254	China Agricultural University	2512564055	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	2378438	2512
2506520015	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Sulfobacillus acidophilus NAL, DSM 10332	DOE Joint Genome Institute JGI	2506520015	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	3557831	3695
2505119043	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Thermovirga lienii Cas60314, DSM 17291	DOE Joint Genome Institute JGI	2505119043	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	1999646	1973
637000321	Bacteria	Finished	Thermotoga maritima MSB8	Thermotoga maritima MSB8	J. Craig Venter Institute JCVI	637000321	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	1860725	1915
641522655	Bacteria	Finished	MetalReducing Microorganisms	Thermoanaerobacter pseudethanolicus 39E, ATCC 33223	DOE Joint Genome Institute JGI	641522655	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	2362816	2363
640427106	Bacteria	Finished	Caldicellulosiruptor saccharolyticus	Caldicellulosiruptor saccharolyticus DSM 8903	DOE Joint Genome Institute JGI	640427106	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	2970275	2834
2593339207	Bacteria	Finished	Geoalkalibacter subterraneus Red1, DSM 23483	Geoalkalibacter subterraneus Red1 complete genome	Mayo Clinic, University of Minnesota	2593339207	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	3717645	3626
649633022	Bacteria	Finished	BESC Fast Track Microbial Sequencing	Caldicellulosiruptor hydrothermalis 108	DOE Joint Genome Institute JGI	649633022	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	2770676	2685
649633047	Bacteria	Finished	Bath Hot Springs Thermophage	Geobacillus sp. Y4.1MC1	DOE Joint Genome Institute JGI	649633047	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	3911947	4031
2519899531	Bacteria	Finished	Protein structure adaptations and genome stability as reflected by species of the Thermotogales	Thermotoga maritima MSB8, DSM 3109	DOE Joint Genome Institute JGI	2519899531	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	1869644	1909
650716010	Bacteria	Finished	Bacillus coagulans 26	Bacillus coagulans 26	Shanghai Jiao Tong University	650716010	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	3073079	3052
646564511	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Kyrpidia tusciae T2, DSM 2912	DOE Joint Genome Institute JGI	646564511	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	3384766	3401
650377924	Bacteria	Finished	Clostridium thermocellum DSM 1313 Whole Genome Shotgun Sequencing	Ruminiclostridium thermocellum LQ8, DSM 1313	DOE Joint Genome Institute JGI	650377924	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	3561619	3102
637000319	Bacteria	Finished	Thermobifida fusca YX	Thermobifida fusca YX	DOE Joint Genome Institute JGI	637000319	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	3642249	3195
2510917010	Bacteria	Finished	Sulfobacillus acidophilus TPY	Sulfobacillus acidophilus TPY	Beijing Genomics Institute BGI	2510917010	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	3551206	3821
637000323	Bacteria	Finished	Thermus thermophilus HB8	Thermus thermophilus HB8	National Institute of Advanced Industrial Science and Technology AIST	637000323	DeinococcusThermus	Deinococci	Thermales	Thermaceae	Thermus	2116056	2302
2512875013	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Thermocrinis ruber DSM 23557	DOE Joint Genome Institute JGI	2512875013	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	1521037	1671
642487181	Bacteria	Finished	Acidovorax genus	Thermotoga sp. RQ2	DOE Joint Genome Institute JGI	642487181	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	1877693	1868
646564525	Bacteria	Finished	Deferribacter desulfuricans SSM1, DSM 14783	Deferribacter desulfuricans SSM1	National Institute of Technology and Evaluation	646564525	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	2542933	2425
641228485	Bacteria	Finished	Chloroflexus aurantiacus J10fl	Chloroflexus aurantiacus J10fl	DOE Joint Genome Institute JGI	641228485	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	5258541	3914
637000303	Bacteria	Finished	Streptococcus thermophilus LMG 18311	Streptococcus thermophilus LMG 18311	Integrated Genomics	637000303	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1796846	1994
644736322	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Acidimicrobium ferrooxidans ICP, DSM 10331	DOE Joint Genome Institute JGI	644736322	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	2158157	2092
