taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Temperature Range	Genome Size    assembled	Gene Count    assembled	
638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Methanocaldococcus jannaschii DSM 2661	J Craig Venter Institute JCVI	638154505	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	Hyperthermophile	1739927	1844	
2740891987	Archaea	Draft	Estuarine sediment microbial communities from White Oak River Estuary North Carolina USA	Thermoplasmatales archaeon SG8-52-1	University of Texas	2740891987	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	Thermoplasmatales archaeon SG8-52-1		2065483	2106	
2634166717	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaeota archaeon SCGC AAA242-N05 unscreened	DOE Joint Genome Institute JGI Bigelow Laboratory Single Cell Genomics Center SCGC	2634166717	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon SCGC AAA242-N05		190273	157	
2515154041	Archaea	Permanent Draft	2D genome	Candidatus Methanoperedens nitroreducens ANME-2d ANME_V10 ANME_V10	University of Queensland	2515154041	Euryarchaeota	Methanomicrobia	Methanosarcinales	unclassified	Candidatus Methanoperedens	nitroreducens		3198961	3481	
2547132060	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii in twins	Methanobrevibacter smithii TS147B	Washington University in St Louis	2547132060	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	Mesophile	1965064	1962	
2663762650	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3HA25	University of Illinois Urbana-Champaign	2663762650	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4088731	3577	
2728369539	Archaea	Finished	Complete genome of Methanobacterium congolense Buetzberg	Methanobacterium congolense Buetzberg	Center for Biotechnology CeBiTec Bielefeld Univeristy	2728369539	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense		2469575	2430	
644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Thermococcus gammatolerans EJ3	CEA Genoscope	644736411	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	Hyperthermophile	2045438	2206	
2684622737	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius GG12-C01-22	University of Illinois Urbana-Champaign	2684622737	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius		2219098	2432	
2708742544	Archaea	Draft	Soil microbial communities from Rifle Colorado USA	Candidatus Pacearchaeota archaeon RBG_13_33_26	DOE Joint Genome Institute JGI	2708742544	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Pacearchaeota archaeon RBG_13_33_26		579469	750	
2693430071	Archaea	Permanent Draft	Development of a pipeline for high-throughput recovery of near-complete and complete microbial genomes from complex metagenomic datasets	Euryarchaeota archaeon JGI CrystG Aug3-3-I21 unscreened	DOE Joint Genome Institute JGI	2693430071	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon JGI CrystG Aug3-3-I21		504938	501	
2684622713	Archaea	Permanent Draft	Genome sequencing of Sulfolobus acidocaldarius strains from two hot springs in Yellowstone National Park	Sulfolobus acidocaldarius NG05A_C05_01	University of Illinois Urbana-Champaign	2684622713	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius		2213924	2464	
2773858044	Archaea	Finished	Genome sequencing of Cuniculiplasma divulgatum PM4	Cuniculiplasma divulgatum PM4	Baltic Federal University	2773858044	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum		1878916	1916	
2718217673	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassified Bathyarchaeota JZ bin_362	Beijing Novogene Bioinformatics Technology Co Ltd	2718217673	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1451033	1547	
2524023100	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp SCGC AAA288-N15 unscreened	Marine Biological Laboratory	2524023100	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA288-N15		144418	307	
2731639252	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I1a Thaumarchaeota archaeon SCGC AG-487_A10 contamination screened	DOE Joint Genome Institute JGI	2731639252	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp		499740	680	
2617271223	Archaea	Permanent Draft	Genome sequencing of Halobellus rufus CBA1103	Halobellus rufus CBA1103	Korea Basic Science Institute KBSI	2617271223	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus rufus		3852219	4006	
2728369322	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Candidatus Hydrothermarchaeota archaeon JdFR-17	DOE Joint Genome Institute JGI	2728369322	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Hydrothermarchaeota archaeon JdFR-17		2178134	2771	
2264867066	Archaea	Permanent Draft	GEBA-MDM	Diapherotrites archaeon SCGC AAA011-K09 contamination screened DUSEL_001_199	DOE Joint Genome Institute JGI	2264867066	Diapherotrites	unclassified	unclassified	unclassified	unclassified	unclassified		316537	384	
2651869596	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia USA	Haloterrigena hispanica CDM_1	DOE Joint Genome Institute JGI	2651869596	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena hispanica		3914267	4252	
2648501542	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Thaumarchaeota archaeon SCGC AB-663-O07 contamination screened	DOE Joint Genome Institute JGI	2648501542	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AB-663-O07		454385	559	
2698536777	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Micrarchaeota archaeon_ARMAN-1	BGI-shenzhen	2698536777	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		867977	1034	
2547132062	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii in twins	Methanobrevibacter smithii TS94A	Washington University in St Louis	2547132062	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	Mesophile	1889378	1861	
2718217655	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassfied Crenarchaeota DRTY7 bin_1	Beijing Novogene Bioinformatics Technology Co Ltd	2718217655	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1397509	1448	
2740891990	Archaea	Draft	Marine sediment microbial community from Aarhus Bay Baltic Sea	Candidatus Heimdallarchaeota archaeon AB_125	Aarhus University	2740891990	Candidatus Heimdallarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Heimdallarchaeota archaeon AB_125		2278690	2396	
2711768836	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Marine Group I crenarchaeon SCGC AB-629-A13	DOE Joint Genome Institute JGI	2711768836	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group I thaumarchaeote SCGC AB-629-A13		381459	458	
2527291506	Archaea	Permanent Draft	GEBA-MDM	Nanoarchaeota archaeon SCGC AAA011-K22 contamination screened Combined_Assembly_DUSEL4_2__DUSEL4	DOE Joint Genome Institute JGI	2527291506	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		558681	779	
2558860254	Archaea	Finished	Thermococcus paralvinellae ES1	Thermococcus paralvinellae ES1	Kyunghee University	2558860254	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus paralvinellae		1957742	2066	
2524023111	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp SCGC AAA007-E02 unscreened	Marine Biological Laboratory	2524023111	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA008-E02		306361	576	
2264867001	Archaea	Permanent Draft	GEBA-MDM	Crenarchaeota archaeon SCGC AAA471-B05 contamination screened GBS-N_001_2	DOE Joint Genome Institute JGI	2264867001	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		831082	957	
2519899514	Archaea	Draft	Thaumarchaeota archaon strain BS4	Thaumarchaeota archaeon BS4	US Department of Energy DOE	2519899514	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1202119	1437	
2648501567	Archaea	Permanent Draft	Baltic Sea SAGs	Uncultured Thaumarchaeota AD-820-J08	Bigelow Laboratory Single Cell Genomics Center SCGC	2648501567	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	uncultured thaumarchaeote		237368	331	
2264265192	Archaea	Permanent Draft	TA reactor biofilm Single Cells Wen-Tso Liu 13 single cells	Euryarchaeota archaeon JGI 0000059-J12 unscreened	DOE Joint Genome Institute JGI	2264265192	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	euryarchaeote JGI 0000059-J12		1416622	1675	
2728369312	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Archaeoglobus sp JdFR-25	DOE Joint Genome Institute JGI	2728369312	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp JdFR-25		885114	973	
2681813116	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HA1A4	University of Illinois Urbana-Champaign	2681813116	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		3982935	3502	
2518645542	Archaea	Draft	Methanoflorens stordalenmirensis	Methanoflorens stordalenmirensis Draft_v432	US Department of Energy DOE	2518645542	Euryarchaeota	Methanomicrobia	unclassified	unclassified	unclassified	unclassified		2064259	2428	
2524023123	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group I thaumarchaeote sp SCGC AAA288-D03 unscreened	Marine Biological Laboratory	2524023123	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	crenarchaeote SCGC AAA288-D03		264357	528	
2698536698	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains Phase II KMG-II from individual species to whole genera	Haladaptatus paucihalophilus DSM 18195	DOE Joint Genome Institute JGI	2698536698	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus paucihalophilus	Mesophile	4283698	4455	
2758568028	Archaea	Finished	Genome sequencing of Thermococcus sp 5-4	Thermococcus sp 5-4	CEA Genoscope	2758568028	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp 5-4		1854909	2059	
2660238431	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HA28	University of Illinois Urbana-Champaign	2660238431	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4063852	3579	
2728369527	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Marine Group II euryarchaeon SCGC AB-629-J06	DOE Joint Genome Institute JGI	2728369527	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group II euryarchaeote SCGC AB-629-J06		493989	587	
2698536784	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Parvarchaeota archaeon_FKSedibin5570	BGI-shenzhen	2698536784	Candidatus Parvarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		912306	1047	
2636415484	Archaea	Finished	Genome sequencing of Sulfolobus solfataricus strains - University of Nebraska-Lincoln	Sulfolobus solfataricus 98/2 SULC	University of Nebraska-Lincoln	2636415484	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus		2727312	3072	
2657245298	Archaea	Permanent Draft	Single-cell microbial genomes from expanding oxygen minimum zones OMZs of the northeastern subarctic Pacific Ocean NESAP	Thaumarchaeota archaeon SCGC AC-312_E07 - v2 contamination screened	DOE Joint Genome Institute JGI	2657245298	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AC-312_E07		320954	413	
2681813016	Archaea	Permanent Draft	Genome sequencing of Acidiplasma cupricumulans JCM 13668	Acidiplasma cupricumulans JCM 13668	University of Tokyo	2681813016	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma cupricumulans		1743370	3385	
2634166659	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Thaumarchaeota archaeon SCGC AC-665-E06 unscreened	DOE Joint Genome Institute JGI Bigelow Laboratory Single Cell Genomics Center SCGC	2634166659	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AC-665-E06		472231	590	
2728369546	Archaea	Finished	Anaerobic digester sludge microbial communities from Brisbane Australia	Methanosarcinales archaeon Methan_04	The University of Queensland	2728369546	Euryarchaeota	Methanomicrobia	Methanosarcinales	unclassified	unclassified	Methanosarcinales archaeon Methan_04		1927734	2131	
2757320366	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains Phase IV KMG-IV sequencing the most valuable type-strain genomes for metagenomic binning comparative biology and taxonomic classification	Methanothermobacter defluvii DSM 7466	DOE Joint Genome Institute JGI	2757320366	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter defluvii		1709557	1813	
2698536765	Archaea	Draft	Acid mine drainage AMD solution archaeal communities from Fankou mine Guangdong China	Micrarchaeota archaeon_FKAMD2014bin88	BGI-shenzhen	2698536765	Candidatus Micrarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		771392	831	
2554235458	Archaea	Finished	Thermofilum adornatus 1910b Genome sequencing	Thermofilum adornatus 1910b	Baltic Federal University	2554235458	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum adornatus		1750259	1942	
2700988735	Archaea	Permanent Draft	Anaerobic digester formation water and tailings sand microbial communities from various locations	Unclassified archaeon V1	The University of Queensland	2700988735	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales	Candidatus Methanomethyliaceae	Candidatus Methanomethylicus	Candidatus Methanomethylicus mesodigestum		1427070	1615	
643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus LS215	DOE Joint Genome Institute JGI	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	Hyperthermophile	2736272	3068	
2758568029	Archaea	Finished	Thermococcales genome sequencing	Thermococcus sp P6	Ecole Normale Superieure de Lyon	2758568029	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp P6		1522818	1676	
2681813403	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 MSBL1	candidate divison MSBL1 archaeon SCGC-AAA259M10	King Abdullah University of Science and Technology	2681813403	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	candidate divison MSBL1 archaeon SCGC-AAA259M10		865782	1076	
2684622658	Archaea	Finished	Complete genome sequence of Methanobacterium formicicum Mb9	Methanobacterium formicicum Mb91	Center for Biotechnology CeBiTec Bielefeld Univeristy	2684622658	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum		2494510	2469	
2515075008	Archaea	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project GEBA	Methanolobus tindarius DSM 2278	DOE Joint Genome Institute JGI	2515075008	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus tindarius	Mesophile	3151883	3022	
2648501537	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Thaumarchaeota archaeon SCGC AB-663-F14 contamination screened	DOE Joint Genome Institute JGI	2648501537	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AB-663-F14		428078	555	
2547132071	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii in twins	Methanobrevibacter smithii TS96C	Washington University in St Louis	2547132071	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	Mesophile	1818239	1863	
2681813131	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3HT1A1	University of Illinois Urbana-Champaign	2681813131	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4072284	3571	
2663762907	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3FT21	University of Illinois Urbana-Champaign	2663762907	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4101065	3588	
2264867017	Archaea	Permanent Draft	Subsurface geothermal stream microbial mat communities from Hishikari gold mine Kagoshima Prefecture Japan	Candidatus Caldiarchaeum subterraneum unscreened MDM ref genome pSL4 group	Takara Bio Inc	2264867017	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum subterraneum	Thermophile	1680938	1878	
2512047039	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum oguniense TE7 DSM 13380	University of California Santa Cruz	2512047039	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense	Hyperthermophile	2452920	2980	
2522125040	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park US	Thermoproteales-Type-1-TT1-r03 from CIS_19	US Department of Energy DOE	2522125040	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	unclassified	unclassified		3188423	4057	
2716884564	Archaea	Permanent Draft	BiGRAPA-SouthPacific-SingleCells	Uncultured marine archaeum AG-339-F18	Bigelow Laboratory Single Cell Genomics Center SCGC	2716884564	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified		212494	230	
2708742547	Archaea	Draft	Soil microbial communities from Rifle Colorado USA	Euryarchaeota archaeon RBG_13_31_8	DOE Joint Genome Institute JGI	2708742547	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon RBG_13_31_8		1562518	2048	
2731639152	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I1a Thaumarchaeota archaeon SCGC AG-487_O18 contamination screened	DOE Joint Genome Institute JGI	2731639152	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp		251294	339	
2728369329	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Archaeoglobus sp JdFR-23	DOE Joint Genome Institute JGI	2728369329	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp JdFR-23		1629140	1918	
2540341077	Archaea	Finished	Methanosarcina mazei Tuc01	Methanosarcina mazei Tuc01	Rede Paraense de Genomica e Proteomica	2540341077	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		3427949	3301	
2667528016	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HA23	University of Illinois Urbana-Champaign	2667528016	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4087374	3605	
2718217669	Archaea	Draft	Metagenomics study of hot springs in Tengchong Yunnan	Unclassified Bathyarchaeota JZ bin_14	Beijing Novogene Bioinformatics Technology Co Ltd	2718217669	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1099659	1226	
2713897304	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaoeta archaeon SCGC SAG AG-538-N06	Bigelow Laboratory Single Cell Genomics Center SCGC	2713897304	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		250230	269	
2657245426	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 1HT23	University of Illinois Urbana-Champaign	2657245426	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		3967951	3477	
2681813123	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 2FT02	University of Illinois Urbana-Champaign	2681813123	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4089677	3618	
2634166696	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Euryarchaeota archaeon SCGC AD-259-C07 unscreened	Bigelow Laboratory Single Cell Genomics Center SCGC DOE Joint Genome Institute JGI	2634166696	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Euryarchaeota archaeon SCGC AD-259-C07		20765	32	
2502957026	Archaea	Draft	BED_Sanger_Thaum	Thaumarchaeota archaeon sp BS1	US Department of Energy DOE	2502957026	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1532059	1134	
2731639234	Archaea	Permanent Draft	Microbial and viral regulation of community carbon cycling across diverse low-oxygen zones	Marine group I1a Thaumarchaeota archaeon SCGC AG-485_D14 contamination screened	DOE Joint Genome Institute JGI	2731639234	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp		551453	718	
2264867225	Archaea	Permanent Draft	GEBA-MDM	Aigarchaeota archaeon SCGC AAA471-I13 contamination screened GBS-N_001_17	DOE Joint Genome Institute JGI	2264867225	Aigarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		164795	208	
646564548	Archaea	Finished	CSP_787660 Methanoarchaea	Methanocaldococcus sp FS406-22	DOE Joint Genome Institute JGI	646564548	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus sp FS406-22	Thermophile	1773136	1893	
2703719067	Archaea	Permanent Draft	Subsurface microbial communities from deep shales in Ohio and West Virginia USA	Methanohalophilus euhalobius WG-1MB	DOE Joint Genome Institute JGI	2703719067	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus euhalobius		1940298	2096	
649633067	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Methanothermus fervidus V24S DSM 2088	DOE Joint Genome Institute JGI	649633067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	Hyperthermophile	1243342	1352	
2651870118	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains Phase II KMG-II from individual species to whole genera	Halopenitus malekzadehii IBRC-M10418	DOE Joint Genome Institute JGI	2651870118	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Halopenitus malekzadehii		3136824	3202	
