RefSoil.ID	Phylum	Class	Order	Family	Genus	Species	RefSoil	Aggregate	Size
969	RefSoil_140	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	RefSoil	Genome.P	6537648
970	RefSoil_141	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis	RefSoil	Genome.P	2340228
971	RefSoil_142	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira borgpetersenii	RefSoil	Genome.P	3931782
972	RefSoil_143	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira borgpetersenii	RefSoil	Genome.P	3876235
973	RefSoil_144	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus	RefSoil	Genome.P	9965640
974	RefSoil_145	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter		RefSoil	Genome.P	5070478
975	RefSoil_146	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia	RefSoil	Genome.P	7702840
976	RefSoil_147	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium novyi	RefSoil	Genome.P	2547720
977	RefSoil_148	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	RefSoil	Genome.P	5475491
978	RefSoil_149	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter	Pelobacter propionicus	RefSoil	Genome.P	4241119
979	RefSoil_15	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	RefSoil	Genome.P	4829781
980	RefSoil_150	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides	RefSoil	Genome.P	3133902
981	RefSoil_151	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		RefSoil	Genome.P	5293685
982	RefSoil_152	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella amazonensis	RefSoil	Genome.P	4306142
983	RefSoil_153	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus		RefSoil	Genome.P	4376040
984	RefSoil_154	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		RefSoil	Genome.P	6256079
985	RefSoil_155	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turicatae	RefSoil	Genome.P	1165365
986	RefSoil_156	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter aurescens	RefSoil	Genome.P	5226648
987	RefSoil_157	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus	RefSoil	Genome.P	4779762
988	RefSoil_158	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli	RefSoil	Genome.P	5352772
989	RefSoil_159	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas naphthalenivorans	RefSoil	Genome.P	5366143
990	RefSoil_16	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	RefSoil	Genome.P	2032674
991	RefSoil_160	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax		RefSoil	Genome.P	4585154
992	RefSoil_161	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter eiseniae	RefSoil	Genome.P	5597943
993	RefSoil_162	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halophila	RefSoil	Genome.P	2678452
994	RefSoil_163	Proteobacteria	Betaproteobacteria	Burkholderiales		Methylibium	Methylibium petroleiphilum	RefSoil	Genome.P	4643639
995	RefSoil_164	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Ruminiclostridium thermocellum	RefSoil	Genome.P	3843301
996	RefSoil_165	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	RefSoil	Genome.P	4489380
997	RefSoil_166	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	RefSoil	Genome.P	7040403
998	RefSoil_167	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		RefSoil	Genome.P	6048425
999	RefSoil_168	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	RefSoil	Genome.P	7089249
1000	RefSoil_169	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora erythraea	RefSoil	Genome.P	8212805
1001	RefSoil_17	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	RefSoil	Genome.P	2905187
1002	RefSoil_170	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis	RefSoil	Genome.P	8391070
1003	RefSoil_171	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus thermodenitrificans	RefSoil	Genome.P	3608012
1004	RefSoil_172	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gilvum	RefSoil	Genome.P	5982829
1005	RefSoil_173	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	RefSoil	Genome.P	3363299
1006	RefSoil_174	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica	RefSoil	Genome.P	5183331
1007	RefSoil_175	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	RefSoil	Genome.P	4557127
1008	RefSoil_176	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	RefSoil	Genome.P	4567418
1009	RefSoil_177	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		RefSoil	Genome.P	4676461
1010	RefSoil_178	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	RefSoil	Genome.P	4659220
1011	RefSoil_179	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	RefSoil	Genome.P	5072807
1012	RefSoil_18	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	RefSoil	Genome.P	4132880
1013	RefSoil_180	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium johnsoniae	RefSoil	Genome.P	6096872
1014	RefSoil_181	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		RefSoil	Genome.P	7456587
1015	RefSoil_182	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	RefSoil	Genome.P	1341892
1016	RefSoil_183	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella arvoryzae	RefSoil	Genome.P	3179916
1017	RefSoil_184	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	RefSoil	Genome.P	3395237
1018	RefSoil_185	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter uraniireducens	RefSoil	Genome.P	5136364
1019	RefSoil_186	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	RefSoil	Genome.P	3963080
1020	RefSoil_187	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	RefSoil	Genome.P	3576470
1021	RefSoil_188	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella ovis	RefSoil	Genome.P	3275590
1022	RefSoil_189	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas wittichii	RefSoil	Genome.P	5915246
1023	RefSoil_19	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	RefSoil	Genome.P	5674258
1024	RefSoil_190	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	RefSoil	Genome.P	5959964
1025	RefSoil_191	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	RefSoil	Genome.P	1853160
1026	RefSoil_192	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter		RefSoil	Genome.P	2995049
1027	RefSoil_193	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	RefSoil	Genome.P	4424435
1028	RefSoil_194	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	RefSoil	Genome.P	6000632
1029	RefSoil_195	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	RefSoil	Genome.P	5694894
1030	RefSoil_196	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas		RefSoil	Genome.P	5100344
1031	RefSoil_197	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		RefSoil	Genome.P	4110251
1032	RefSoil_198	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus radiotolerans	RefSoil	Genome.P	4956672
1033	RefSoil_199	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi	RefSoil	Genome.P	5205777
1034	RefSoil_2	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	RefSoil	Genome.P	1111523
1035	RefSoil_20	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	RefSoil	Genome.P	9119895
1036	RefSoil_200	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus	RefSoil	Genome.P	4094159
1037	RefSoil_201	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter		RefSoil	Genome.P	5277990
1038	RefSoil_202	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	RefSoil	Genome.P	3760560
1039	RefSoil_203	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri	RefSoil	Genome.P	4023800
1040	RefSoil_204	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei	RefSoil	Genome.P	2542943
1041	RefSoil_205	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	RefSoil	Genome.P	1971264
1042	RefSoil_206	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter	Xanthobacter autotrophicus	RefSoil	Genome.P	5625098
1043	RefSoil_207	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methylotrophicus	RefSoil	Genome.P	3918589
1044	RefSoil_208	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	RefSoil	Genome.P	4735357
1045	RefSoil_209	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	RefSoil	Genome.P	2099413
1046	RefSoil_21	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	RefSoil	Genome.P	4951371
1047	RefSoil_210	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia proteamaculans	RefSoil	Genome.P	5495657
1048	RefSoil_211	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	RefSoil	Genome.P	3704464
1049	RefSoil_212	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans	RefSoil	Genome.P	3944167
1050	RefSoil_213	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola	RefSoil	Genome.P	5786361
1051	RefSoil_214	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium phytofermentans	RefSoil	Genome.P	4847594
1052	RefSoil_215	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans	RefSoil	Genome.P	6767514
1053	RefSoil_216	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans	RefSoil	Genome.P	7008622
1054	RefSoil_217	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella canis	RefSoil	Genome.P	3312769
1055	RefSoil_218	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	RefSoil	Genome.P	13033779
1056	RefSoil_219	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	RefSoil	Genome.P	1496992
1057	RefSoil_22	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	RefSoil	Genome.P	3093113
1058	RefSoil_220	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum	RefSoil	Genome.P	3155250
1059	RefSoil_221	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella suis	RefSoil	Genome.P	3324607
1060	RefSoil_222	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella		RefSoil	Genome.P	5287950
1061	RefSoil_223	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium extorquens	RefSoil	Genome.P	5471154
1062	RefSoil_224	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus weihenstephanensis	RefSoil	Genome.P	5872743
1063	RefSoil_225	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter		RefSoil	Genome.P	2457259
1064	RefSoil_226	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter pseudethanolicus	RefSoil	Genome.P	2362816
1065	RefSoil_227	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	RefSoil	Genome.P	6078430
1066	RefSoil_228	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia	RefSoil	Genome.P	2049711
1067	RefSoil_229	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Heliobacterium	Heliobacterium modesticaldum	RefSoil	Genome.P	3075407
1068	RefSoil_23	Cyanobacteria		Nostocales	Nostocaceae	Nostoc		RefSoil	Genome.P	7211789
1069	RefSoil_230	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter		RefSoil	Genome.P	5889399
1070	RefSoil_231	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Candidatus Desulforudis	Candidatus Desulforudis audaxviator	RefSoil	Genome.P	2349476
1071	RefSoil_232	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	RefSoil	Genome.P	4689441
1072	RefSoil_233	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	RefSoil	Genome.P	4746218
1073	RefSoil_234	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	RefSoil	Genome.P	4686137
1074	RefSoil_235	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	RefSoil	Genome.P	5774330
1075	RefSoil_236	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium radiotolerans	RefSoil	Genome.P	6899110
1076	RefSoil_237	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia	RefSoil	Genome.P	7971389
1077	RefSoil_238	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		RefSoil	Genome.P	7737025
1078	RefSoil_239	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	RefSoil	Genome.P	4107013
1079	RefSoil_24	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	RefSoil	Genome.P	5810922
1080	RefSoil_240	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	RefSoil	Genome.P	4259691
1081	RefSoil_241	Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix	Leptothrix cholodnii	RefSoil	Genome.P	4909403
1082	RefSoil_242	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis	RefSoil	Genome.P	6476522
1083	RefSoil_243	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria	RefSoil	Genome.P	7642536
1084	RefSoil_244	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	RefSoil	Genome.P	4099895
1085	RefSoil_245	Firmicutes	Bacilli	Bacillales		Exiguobacterium	Exiguobacterium sibiricum	RefSoil	Genome.P	3040786
1086	RefSoil_246	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	RefSoil	Genome.P	5957605
1087	RefSoil_247	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	RefSoil	Genome.P	8545929
1088	RefSoil_248	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	RefSoil	Genome.P	2573987
1089	RefSoil_249	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica	RefSoil	Genome.P	4418616
1090	RefSoil_25	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	Chlamydophila caviae	RefSoil	Genome.P	1181356
1091	RefSoil_250	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira biflexa	RefSoil	Genome.P	3951448
1092	RefSoil_251	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila	RefSoil	Genome.P	2697540
1093	RefSoil_252	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia phymatum	RefSoil	Genome.P	8676562
1094	RefSoil_253	Cyanobacteria		Nostocales	Nostocaceae	Nostoc	Nostoc punctiforme	RefSoil	Genome.P	9059191
1095	RefSoil_254	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	RefSoil	Genome.P	4765431
1096	RefSoil_255	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia phytofirmans	RefSoil	Genome.P	8214658
1097	RefSoil_256	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	RefSoil	Genome.P	1893886
